epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1555.68,1.03152,1.71816,1.6671,0.48525,0.53543,0.52097,0.35053,1.15648,1.41051,1.72349,0.00999753,0.00333251,0.00999753,0.00333251,0.00999753,0.00333251,0.00999753,0.00333251
2,2724.57,0.99292,1.31474,1.61128,0.57222,0.57727,0.61671,0.42774,1.0692,1.21311,1.58523,0.0180178,0.00600593,0.0180178,0.00600593,0.0180178,0.00600593,0.0180178,0.00600593
3,3753.38,0.96416,1.25995,1.58474,0.66267,0.58944,0.66851,0.47373,1.02795,1.12742,1.54085,0.024058,0.00801934,0.024058,0.00801934,0.024058,0.00801934,0.024058,0.00801934
4,4736.5,0.91724,1.15562,1.53521,0.69291,0.66684,0.74617,0.55642,0.96019,0.97144,1.45372,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
5,5717.17,0.85844,1.01644,1.47438,0.71232,0.70369,0.7765,0.59076,0.91716,0.89971,1.4056,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
6,6699.49,0.81819,0.92136,1.4329,0.76464,0.70356,0.80777,0.63012,0.88593,0.82817,1.37848,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
7,7684.82,0.78587,0.85092,1.39955,0.75437,0.76266,0.82736,0.6436,0.86933,0.79726,1.35521,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
8,8665.67,0.76187,0.78528,1.37396,0.79703,0.74483,0.84081,0.65772,0.85586,0.75552,1.34271,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
9,9647.59,0.73686,0.72446,1.34706,0.78591,0.77813,0.85196,0.66715,0.84362,0.72631,1.32466,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
10,10626.2,0.71263,0.66054,1.3257,0.79231,0.79007,0.86018,0.67744,0.83701,0.70941,1.31811,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
